文件名,参考文本,标准化参考,标准化识别,参考字数,识别字数,错误字数,字错率,音频时长(秒),处理时间(秒),识别速度(字/秒),实时率(RTF),原始结果
BAC009S0002W0132.wav,放松 了 与 自 往 需求 密切 相关 的 房贷 政策,放松了与自往需求密切相关的房贷政策,放松了与自网需求密切相关的房贷政策,17,17,1,0.058823529,6.766,0.08554554,198.7245627,0.012643444,<|zh|><|NEUTRAL|><|Speech|><|withitn|>放松了与自网需求密切相关的房贷政策。
BAC009S0002W0133.wav,其中 包括 对 拥有 一 套住 房 并 已 结清 相应 购房 贷款 的 家庭,其中包括对拥有一套住房并已结清相应购房贷款的家庭,其中包括对拥有一套住房并已结清相应购房贷款的家庭,24,24,0,0,9.323,0.097886086,245.1829581,0.010499419,<|zh|><|NEUTRAL|><|Speech|><|withitn|>其中，包括对拥有一套住房并已结清相应购房贷款的家庭。
BAC009S0002W0134.wav,为 改善 居住 条件 再次 申请 贷款 购买 普通 商品 住房,为改善居住条件再次申请贷款购买普通商品住房,为改善居住条件再次申请贷款购买普通商品住房,21,21,0,0,7.287,0.089419842,234.847206,0.012271146,<|zh|><|NEUTRAL|><|Speech|><|withitn|>为改善居住条件，再次申请贷款购买普通商品住房。
BAC009S0002W0135.wav,银行 业金 融机 构 执行 首套 房贷 款 政策,银行业金融机构执行首套房贷款政策,银行业金融机构执行首套房贷款政策,16,16,0,0,7.15,0.086870909,184.1813356,0.012149777,<|zh|><|NEUTRAL|><|Speech|><|withitn|>银行业金融机构执行首套房贷款政策。
BAC009S0002W0136.wav,这个 后来 被 称 为 九三零 新政 策 的 措施,这个后来被称为九三零新政策的措施,这个后来被称为新政策的措施,16,13,3,0.1875,6.323,0.086900473,149.5964246,0.013743551,<|zh|><|NEUTRAL|><|Speech|><|withitn|>这个后来被称为930新政策的措施。
BAC009S0002W0137.wav,被 市场 公认 为 是 今年 对 楼市 影响 最 大 的 一 个 政策,被市场公认为是今年对楼市影响最大的一个政策,被市场公认为是今年对楼市影响最大的一个政策,21,21,0,0,7.248,0.094577789,222.0394466,0.013048812,<|zh|><|NEUTRAL|><|Speech|><|withitn|>被市场公认为是今年对楼市影响最大的一个政策。
BAC009S0002W0138.wav,以 提高 住房 公积金 缴存 职工 住房 消费 能力,以提高住房公积金缴存职工住房消费能力,以提高住房公积金缴存职工住房消费能力,18,18,0,0,6.4510625,0.096395969,186.7297991,0.01494265,<|zh|><|NEUTRAL|><|Speech|><|withitn|>以提高住房公积金。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>缴存职工住房消费能力。
BAC009S0002W0139.wav,支持 缴存 职工 购买 首套 和 改善 型 自 住 住房,支持缴存职工购买首套和改善型自住住房,支持缴存职工购买手套和改善型自住住房,18,18,1,0.055555556,6.834,0.087331533,206.1111181,0.012778978,<|zh|><|NEUTRAL|><|Speech|><|withitn|>支持缴存职工购买手套和改善型自住住房。
BAC009S0002W0140.wav,通过 财政 补贴 手段 鼓励 购房 的 地区 也 在 不 断 增加,通过财政补贴手段鼓励购房的地区也在不断增加,通过财政补贴手段鼓励购房的地区也在不断增加,21,21,0,0,7.631,0.090184689,232.8554917,0.011818201,<|zh|><|NEUTRAL|><|Speech|><|withitn|>通过财政补贴手段，鼓励购房的地区也在不断增加。
BAC009S0002W0141.wav,其中 多项 政策 惠及 购房 者,其中多项政策惠及购房者,其中多项政策惠及购房者,11,11,0,0,5.153,0.085264206,129.0107599,0.016546518,<|zh|><|NEUTRAL|><|Speech|><|withitn|>其中，多项政策惠及购房者。
BAC009S0002W0142.wav,尚未 取消 限 购,尚未取消限购,尚未取消限购,6,6,0,0,2.547,0.071473598,83.94708155,0.028061876,<|zh|><|NEUTRAL|><|Speech|><|withitn|>尚未取消限购。
BAC009S0002W0143.wav,也 通过 大幅 调整 对 普通 住宅 总价 认定 标准 的 方式,也通过大幅调整对普通住宅总价认定标准的方式,也通过大幅调整对普通住宅总价认定标准的方式,21,21,0,0,8.408,0.094510317,222.1979642,0.011240523,<|zh|><|NEUTRAL|><|Speech|><|withitn|>也通过大幅调整对普通住宅总价认定。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>标准的方式。
BAC009S0002W0144.wav,刺激 改善 型 需求 入市,刺激改善型需求入市,刺激改善型需求入市,9,9,0,0,4.553,0.083931684,107.2300652,0.01843437,<|zh|><|NEUTRAL|><|Speech|><|withitn|>刺激改善型需求入市。
BAC009S0002W0145.wav,而 另外 一 剂 楼市 强心剂 则 当属 央行 的 不 对称 降息,而另外一剂楼市强心剂则当属央行的不对称降息,而另外一季楼市强新剂则当属央行的不对称降息,21,21,2,0.095238095,8.536,0.102248907,205.3811683,0.011978551,<|zh|><|NEUTRAL|><|Speech|><|withitn|>而另外一季楼市强新剂则当属央行的不对称降息。
BAC009S0002W0146.wav,有业 内人 士 当时 就 指出,有业内人士当时就指出,有业内人士当时就指出,10,10,0,0,3.6389375,0.079918146,125.1280277,0.021961945,<|zh|><|NEUTRAL|><|Speech|><|withitn|>有业内人士当时就指出。
BAC009S0002W0147.wav,对于 房地 产业 的 影响 来说,对于房地产业的影响来说,对于房地产业的影响来说,11,11,0,0,4.012,0.077863932,141.2720854,0.01940776,<|zh|><|NEUTRAL|><|Speech|><|withitn|>对于房地产业的影响来说。
BAC009S0002W0148.wav,货币 手段 历来 是 刺激 市场 需求 的 最 有效 工具,货币手段历来是刺激市场需求的最有效工具,货币手段历来是刺激市场需求的最有效工具,19,19,0,0,5.87,0.082463741,230.4042928,0.014048338,<|zh|><|NEUTRAL|><|Speech|><|withitn|>货币手段历来是刺激市场需求的最有效工具。
BAC009S0002W0149.wav,此次 降息 将 成为 市场 加快 库存 去 化 的 重要 利器,此次降息将成为市场加快库存去化的重要利器,此次降息将成为市场加快库存去化的重要利器,20,20,0,0,7.476,0.09105587,219.645367,0.012179758,<|zh|><|NEUTRAL|><|Speech|><|withitn|>此次降息将成为市场加快库存去化的重要利器。
BAC009S0002W0150.wav,房地 产 市场 迅速 变化,房地产市场迅速变化,房地产市场迅速变化,9,9,0,0,3.57,0.075676203,118.9277431,0.021197816,<|zh|><|NEUTRAL|><|Speech|><|withitn|>房地产市场迅速变化。
BAC009S0002W0151.wav,住房 和 城乡 建设 部会 配合 有 关 部门,住房和城乡建设部会配合有关部门,住房和城乡建设部会配合有关部门,15,15,0,0,5.263,0.080582857,186.1438094,0.015311202,<|zh|><|NEUTRAL|><|Speech|><|withitn|>住房和城乡建设部会配合有关部门。
BAC009S0002W0152.wav,强化 地方 调控 主体 责任,强化地方调控主体责任,强化地方调控主体责任,10,10,0,0,3.618,0.074692011,133.8831273,0.020644558,<|zh|><|NEUTRAL|><|Speech|><|withitn|>强化地方调控主体责任。
BAC009S0002W0153.wav,及时 调整 了 限 购 差别 化 信贷 等 方面 的 政策,及时调整了限购差别化信贷等方面的政策,及时调整了限购差别化信贷等方面的政策,18,18,0,0,6.067,0.096878529,185.799684,0.015968111,<|zh|><|NEUTRAL|><|Speech|><|withitn|>及时调整了限购、差别化、信贷等方面的政策。
BAC009S0002W0154.wav,支持 居民 合理 的 住房 消费,支持居民合理的住房消费,支持居民合理的住房消费,11,11,0,0,3.147,0.073698282,149.2572101,0.023418583,<|zh|><|NEUTRAL|><|Speech|><|withitn|>支持居民合理的住房消费。
BAC009S0002W0155.wav,总体 上 保持 了 房地 产 市场 平稳 运行,总体上保持了房地产市场平稳运行,总体上保持了房地产市场平稳运行,15,15,0,0,4.1600625,0.081990242,182.9486001,0.019708897,<|zh|><|NEUTRAL|><|Speech|><|withitn|>总体上保持了房地产市场平稳运行。
BAC009S0002W0156.wav,住 建 部 新闻 发言 人 倪 虹 近日 表示,住建部新闻发言人倪虹近日表示,住建部新闻发言人倪虹近日表示,14,14,0,0,4.4259375,0.077823877,179.8933757,0.017583592,<|zh|><|NEUTRAL|><|Speech|><|withitn|>住建部新闻发言人倪虹近日表示。
BAC009S0002W0157.wav,即 政府 做好 的 事,即政府做好的事,即政府做好的事,7,7,0,0,2.7829375,0.073694468,94.98677761,0.02648082,<|zh|><|NEUTRAL|><|Speech|><|withitn|>即政府做好的事。
BAC009S0002W0158.wav,市场 发挥 经济 规律 做好 市场 的 事情,市场发挥经济规律做好市场的事情,市场发挥经济规律做好市场的事情,15,15,0,0,4.297,0.07957983,188.4899725,0.018519858,<|zh|><|NEUTRAL|><|Speech|><|withitn|>市场发挥经济规律，做好市场的事情。
BAC009S0002W0159.wav,今年 有 望 超 三百亿 美元,今年有望超三百亿美元,今年有望超亿美元,10,8,2,0.2,3.51,0.074870586,106.8510397,0.021330651,<|zh|><|NEUTRAL|><|Speech|><|withitn|>今年有望超300亿美元。
BAC009S0002W0160.wav,就 连 一向 看多 的 任 志强,就连一向看多的任志强,就连一向看多的任志强,10,10,0,0,3.629,0.074932098,133.4541567,0.02064814,<|zh|><|NEUTRAL|><|Speech|><|withitn|>就连一向看多的任志强。
BAC009S0002W0161.wav,近期 也 一 反常 态 地 发表 看空 言论,近期也一反常态地发表看空言论,近期也一反常态得发表看空言论,14,14,1,0.071428571,6.078,0.088525295,158.1468885,0.014564873,<|zh|><|NEUTRAL|><|Speech|><|withitn|>近期也一反常态。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>得发表看空言论。
BAC009S0002W0162.wav,为了 维持 业绩 的 稳步 增长,为了维持业绩的稳步增长,为了维持业绩的稳步增长,11,11,0,0,3.2750625,0.07881999,139.5585051,0.024066713,<|zh|><|NEUTRAL|><|Speech|><|withitn|>为了维持业绩的稳步增长。
BAC009S0002W0163.wav,房企 纷纷 加大 海外 投资 的 力度,房企纷纷加大海外投资的力度,房企纷纷加大海外投资的力度,13,13,0,0,3.9930625,0.080290556,161.911944,0.020107513,<|zh|><|NEUTRAL|><|Speech|><|withitn|>房企纷纷加大海外投资的力度。
BAC009S0002W0164.wav,以 填补 国内 市场 下滑 带来 的 损失,以填补国内市场下滑带来的损失,以填补国内市场下滑带来的损失,14,14,0,0,4.3559375,0.082952023,168.7722562,0.019043437,<|zh|><|NEUTRAL|><|Speech|><|withitn|>以填补国内市场下滑带来的损失。
BAC009S0002W0165.wav,近年 来 中国 已 成为 全球 资本 输出 大国,近年来中国已成为全球资本输出大国,近年来中国已成为全球资本输出大国,16,16,0,0,4.819,0.080173254,199.567801,0.016636907,<|zh|><|NEUTRAL|><|Speech|><|withitn|>近年来，中国已成为全球资本输出大国。
BAC009S0002W0166.wav,对外 房地 产 投资 增长 迅速,对外房地产投资增长迅速,对外房地产投资增长迅速,11,11,0,0,3.786,0.0817554,134.5476879,0.021594136,<|zh|><|NEUTRAL|><|Speech|><|withitn|>对外房地产投资增长迅速。
BAC009S0002W0167.wav,中国 跨境 房地 产 投资 额 则有 望 超过 三百亿 美元,中国跨境房地产投资额则有望超过三百亿美元,中国跨境房地产投资额则有望超过亿美元,20,18,2,0.1,6.1759375,0.083967686,214.3681805,0.013595942,<|zh|><|NEUTRAL|><|Speech|><|withitn|>中国跨境房地产投资额则有望超过300亿美元。
BAC009S0002W0168.wav,超过 此前 数 年 海外 房地 产 投资 的 总和,超过此前数年海外房地产投资的总和,超过此前数年海外房地产投资的总和,16,16,0,0,5.831,0.085862637,186.3441497,0.014725199,<|zh|><|NEUTRAL|><|Speech|><|withitn|>超过此前数年海外房地产投资的总和。
BAC009S0002W0169.wav,新华 联 在 今年 一月 份,新华联在今年一月份,新华联在今年月份,9,8,1,0.111111111,3.029,0.073784113,108.4244247,0.024359232,<|zh|><|NEUTRAL|><|Speech|><|withitn|>新华联在今年1月份。
BAC009S0002W0170.wav,正式 进军 澳大利亚 市场,正式进军澳大利亚市场,正式进军澳大利亚市场,10,10,0,0,3.019,0.07456708,134.107438,0.024699265,<|zh|><|NEUTRAL|><|Speech|><|withitn|>正式进军澳大利亚市场。
BAC009S0002W0171.wav,而 对外 投资 规模 最 大 的 两家 房企,而对外投资规模最大的两家房企,而对外投资规模最大的两家房企,14,14,0,0,4.671,0.085769653,163.2278954,0.018362161,<|zh|><|NEUTRAL|><|Speech|><|withitn|>而对外投资规模最大的两家房企。
BAC009S0002W0172.wav,无 疑 当属 绿地 和 万达,无疑当属绿地和万达,无一栋数绿地和万达,9,9,3,0.333333333,5.271,0.083344936,107.9849646,0.015811978,<|zh|><|NEUTRAL|><|Speech|><|withitn|>无一栋数。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>绿地和万达。
BAC009S0002W0173.wav,建成 后 该 项目 有 望成 为 芝加哥 第 三高 建筑,建成后该项目有望成为芝加哥第三高建筑,建成后该项目有望成为芝加哥第三高建筑,18,18,0,0,6.522,0.099276781,181.3112775,0.015221831,<|zh|><|NEUTRAL|><|Speech|><|withitn|>建成后，该项目有望成为芝加哥第三高建筑。
BAC009S0002W0174.wav,海外 项目 总 投资 超过 两百亿 美元,海外项目总投资超过两百亿美元,海外项目总投资超过亿美元,14,12,2,0.142857143,4.972,0.079885244,150.2154759,0.016067024,<|zh|><|NEUTRAL|><|Speech|><|withitn|>海外项目总投资超过200亿美元。
BAC009S0002W0175.wav,国家 在 相关 政策 上 的 变动,国家在相关政策上的变动,国家在相关政策上的变动,11,11,0,0,3.652,0.075600863,145.5009855,0.020701222,<|zh|><|NEUTRAL|><|Speech|><|withitn|>国家在相关政策上的变动。
BAC009S0002W0176.wav,也 进一步 支持 了 房企 到 海外 的 投资,也进一步支持了房企到海外的投资,也进一步支持了房企到海外的投资,15,15,0,0,6.1889375,0.086386919,173.6373999,0.013958279,<|zh|><|NEUTRAL|><|Speech|><|withitn|>也进一步支持了。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>房企到海外的投资。
BAC009S0002W0177.wav,国务院 在 今年 取消 了 对 一般 境外 投资 项目 的 审核 制度,国务院在今年取消了对一般境外投资项目的审核制度,国务院在今年取消了对一般境外投资项目的审核制度,23,23,0,0,6.226,0.087408543,263.1321757,0.014039278,<|zh|><|NEUTRAL|><|Speech|><|withitn|>国务院在今年取消了对一般境外投资项目的审核制度。
BAC009S0002W0178.wav,打破 过去 在 外汇 管理 跨境 资金 流动 方面 的 多 重 限制,打破过去在外汇管理跨境资金流动方面的多重限制,打破过去在外汇管理跨境资金流动方面的多重限制,22,22,0,0,8.207,0.091194868,241.2416451,0.01111184,<|zh|><|NEUTRAL|><|Speech|><|withitn|>打破过去在外汇管理跨境资金流动方面的多重限制。
BAC009S0002W0179.wav,移民 人数 的 不 断 增长,移民人数的不断增长,移民人数的不断增长,9,9,0,0,2.795,0.073658705,122.1851515,0.026353741,<|zh|><|NEUTRAL|><|Speech|><|withitn|>移民人数的不断增长。
BAC009S0002W0180.wav,也 为 出海 房企 提供 了 大量 的 需求,也为出海房企提供了大量的需求,也为出海房企提供了大量的需求,14,14,0,0,5.132,0.086991549,160.935174,0.016950808,<|zh|><|NEUTRAL|><|Speech|><|withitn|>也为出海房企提供了大量的需求。
BAC009S0002W0181.wav,胡润 中国 私人 财富 管理 白皮书 调查 显示,胡润中国私人财富管理白皮书调查显示,胡润中国私人财富管理白皮书调查显示,17,17,0,0,6.8760625,0.097465754,174.4202387,0.014174646,<|zh|><|NEUTRAL|><|Speech|><|withitn|>胡润中国私人。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>财富管理白皮书调查显示。
BAC009S0002W0182.wav,中国 内地 的 千万 富豪 中,中国内地的千万富豪中,中国内地的千万富豪中,10,10,0,0,3.172,0.074026346,135.0870401,0.023337436,<|zh|><|NEUTRAL|><|Speech|><|withitn|>中国内地的千万富豪中。
BAC009S0002W0183.wav,百分 之 四十六 正在 考虑 移民 国外,百分之四十六正在考虑移民国外,正在考虑移名国外,14,8,7,0.5,4.495,0.082787991,96.63237318,0.018417795,<|zh|><|NEUTRAL|><|Speech|><|withitn|>46%正在考虑移名国外。
BAC009S0002W0184.wav,百分 之 十四 已经 移民 或者 正在 申请 移民,百分之十四已经移民或者正在申请移民,已经移民或者正在申请移民,17,12,5,0.294117647,6.315,0.086464643,138.7850515,0.013691947,<|zh|><|NEUTRAL|><|Speech|><|withitn|>14%已经移民或者正在申请移民。
BAC009S0002W0185.wav,家 资 在 一亿 元 以上 的 富人 中,家资在一亿元以上的富人中,加资在亿元以上的富人中,12,11,2,0.166666667,4.4729375,0.077805042,141.3790119,0.017394619,<|zh|><|NEUTRAL|><|Speech|><|withitn|>加资在1亿元以上的富人中。
BAC009S0002W0186.wav,有 移民 意向 的人 比例 高 达 百分 之 七十四,有移民意向的人比例高达百分之七十四,有移民意向的人比例高达,17,11,6,0.352941176,5.768,0.081336498,135.240639,0.014101335,<|zh|><|NEUTRAL|><|Speech|><|withitn|>有移民意向的人比例高达74%。
BAC009S0002W0187.wav,公布 的 招股 意向 书 显示,公布的招股意向书显示,公布的招股意向书显示,10,10,0,0,3.734,0.075195789,132.9861697,0.020138133,<|zh|><|NEUTRAL|><|Speech|><|withitn|>公布的招股意向书显示。
BAC009S0002W0188.wav,二零一一 年 十月 一 日,二零一一年十月一日,年月日,9,3,6,0.666666667,3.091,0.074597359,40.2159011,0.02413373,<|zh|><|NEUTRAL|><|Speech|><|withitn|>2011年10月1日。
BAC009S0002W0189.wav,该 公司 的大 客户 中,该公司的大客户中,该公司的大客户中,8,8,0,0,3.172,0.073194027,109.2985361,0.02307504,<|zh|><|NEUTRAL|><|Speech|><|withitn|>该公司的大客户中。
BAC009S0002W0190.wav,就 分别 包括 了 通号 集团 和 通号 院,就分别包括了通号集团和通号院,就分别包括了通浩集团和通浩院,14,14,2,0.142857143,5.6490625,0.082174301,170.3695657,0.014546538,<|zh|><|NEUTRAL|><|Speech|><|withitn|>就分别包括了通浩集团和通浩院。
BAC009S0002W0192.wav,在 现任 董事 会成 员 中,在现任董事会成员中,在现任董事会成员中,9,9,0,0,3.453,0.074361801,121.0298818,0.021535419,<|zh|><|NEUTRAL|><|Speech|><|withitn|>在现任董事会成员中。
BAC009S0002W0193.wav,信号 系统 这种 产品 本身 并 不 是一 个 指定 性 的 产品,信号系统这种产品本身并不是一个指定性的产品,信号系统这种产品本身并不是一个指定性的产品,21,21,0,0,7.187,0.100573301,208.8029301,0.013993781,<|zh|><|NEUTRAL|><|Speech|><|withitn|>信号系统这种产品本身。 <|zh|><|NEUTRAL|><|Speech|><|withitn|>并不是一个指定性的产品。
BAC009S0002W0194.wav,而是 一 个 竞争 性 的 产品,而是一个竞争性的产品,而是一个竞争性的产品,10,10,0,0,2.8689375,0.075635672,132.2127481,0.026363653,<|zh|><|NEUTRAL|><|Speech|><|withitn|>而是一个竞争性的产品。
BAC009S0002W0195.wav,信号 系统 是一 个 争 竞争 性 领域 和 竞争 性 的 产品,信号系统是一个争竞争性领域和竞争性的产品,信号系统是一个真竞争性领域和竞争性的产品,20,20,1,0.05,6.529,0.089355946,223.8239422,0.013686008,<|zh|><|NEUTRAL|><|Speech|><|withitn|>信号系统是一个真竞争性领域和竞争性的产品。
BAC009S0002W0196.wav,它 在 形式 意义 上有 竞争,它在形式意义上有竞争,它在形式意义上有竞争,10,10,0,0,3.328,0.078215837,127.8513447,0.023502355,<|zh|><|NEUTRAL|><|Speech|><|withitn|>它在形式意义上有竞争。
BAC009S0002W0197.wav,但 在 实际 意义 上 没 有 竞争,但在实际意义上没有竞争,但在实际意义上没有竞争,11,11,0,0,3.5639375,0.077730656,141.5143087,0.021810331,<|zh|><|NEUTRAL|><|Speech|><|withitn|>但在实际意义上没有竞争。
BAC009S0002W0198.wav,它 形成 了 一 个 利益 圈,它形成了一个利益圈,它形成了一个利益圈,9,9,0,0,3.209,0.079494715,113.2150739,0.024772426,<|zh|><|NEUTRAL|><|Speech|><|withitn|>它形成了一个利益圈。
BAC009S0002W0199.wav,所有 的 利益 在 一 个 特定 的 圈子 里来 分配,所有的利益在一个特定的圈子里来分配,所有的利益在一个特定的圈子里来分配,17,17,0,0,4.629,0.080577135,210.9779652,0.017407029,<|zh|><|NEUTRAL|><|Speech|><|withitn|>所有的利益在一个特定的圈子里来分配。
BAC009S0002W0200.wav,相对 应 的 管制 措施 相对 较少,相对应的管制措施相对较少,相对应的管制措施相对较少,12,12,0,0,3.7039375,0.074908733,160.1949394,0.020224081,<|zh|><|NEUTRAL|><|Speech|><|withitn|>相对应的管制措施相对较少。
BAC009S0002W0201.wav,但 在 特定 的 过程 中间,但在特定的过程中间,但在特定的过程中间,9,9,0,0,3.342,0.07400465,121.6139795,0.022143821,<|zh|><|NEUTRAL|><|Speech|><|withitn|>但在特定的过程中间。
BAC009S0002W0202.wav,竞争 只是 在 表面 层次 上 展开,竞争只是在表面层次上展开,竞争只是在表面层次上展开,12,12,0,0,4.1780625,0.079518318,150.9086243,0.019032343,<|zh|><|NEUTRAL|><|Speech|><|withitn|>竞争只是在表面层次上展开。
BAC009S0002W0203.wav,实质 意义 上 没 有 完成,实质意义上没有完成,实质意义上没有完成,9,9,0,0,3.0409375,0.075824022,118.6958925,0.024934423,<|zh|><|NEUTRAL|><|Speech|><|withitn|>实质意义上没有完成。
BAC009S0002W0204.wav,如果 是 指定 性 产品 的 话,如果是指定性产品的话,如果是指定性产品的话,10,10,0,0,3.2170625,0.078189611,127.8942281,0.02430466,<|zh|><|NEUTRAL|><|Speech|><|withitn|>如果是指定性产品的话。
BAC009S0002W0205.wav,而 如果 是 竞争 性 产品 的 话,而如果是竞争性产品的话,而如果是竞争性产品的话,11,11,0,0,3.993,0.081667662,134.6922365,0.020452708,<|zh|><|NEUTRAL|><|Speech|><|withitn|>而如果是竞争性产品的话。
BAC009S0002W0206.wav,竞争 者 之间 会 相互 形成 制约 和 监督,竞争者之间会相互形成制约和监督,竞争者之间会相互形成制约和监督,15,15,0,0,6.0039375,0.0930264,161.2445506,0.015494232,<|zh|><|NEUTRAL|><|Speech|><|withitn|>竞争者之间会相互形成制约和监督。
BAC009S0002W0207.wav,这样 能够 相对 保障 产品 的 质量,这样能够相对保障产品的质量,这样能够相对保障产品的质量,13,13,0,0,3.609,0.074552059,174.3747945,0.020657262,<|zh|><|NEUTRAL|><|Speech|><|withitn|>这样能够相对保障产品的质量。
BAC009S0002W0208.wav,从而 导致 了 对其 的 管理 和 评价 处于 缺失 的 状态,从而导致了对其的管理和评价处于缺失的状态,从而导致了对其的管理和评价处于缺失的状态,20,20,0,0,4.836,0.078599691,254.4539253,0.016253038,<|zh|><|NEUTRAL|><|Speech|><|withitn|>从而导致了对其的管理和评价处于缺失的状态。
BAC009S0002W0209.wav,央 企 无限 制 没 有 边际 的 扩张 导致 市场 竞争 的 失败,央企无限制没有边际的扩张导致市场竞争的失败,央企无限制没有边际的扩张导致市场竞争的失败,21,21,0,0,6.1840625,0.084748507,247.7919772,0.013704342,<|zh|><|NEUTRAL|><|Speech|><|withitn|>央企无限制，没有边际的扩张，导致市场竞争的失败。
BAC009S0002W0210.wav,这 不 利于 市场 化 的 相互 监督 机制 的 形成,这不利于市场化的相互监督机制的形成,这不利于市场化的相互监督机制的形成,17,17,0,0,4.4349375,0.082268715,206.6399119,0.018550141,<|zh|><|NEUTRAL|><|Speech|><|withitn|>这不利于市场化的相互监督机制的形成。
BAC009S0002W0211.wav,如果 一 个 垄断 企业 的 所有 产品 都 是 内部 采购,如果一个垄断企业的所有产品都是内部采购,如果一个垄断企业的所有产品都是内部采购,19,19,0,0,6.844,0.09294343,204.4254232,0.013580279,<|zh|><|NEUTRAL|><|Speech|><|withitn|>如果一个垄断企业的所有产品都是内部采购。
BAC009S0002W0212.wav,这种 模式 不 能保 证所 有 采购 产品 是 市场 上 最 好 的 产品,这种模式不能保证所有采购产品是市场上最好的产品,这种模式不能保证所有采购产品是市场上最好的产品,23,23,0,0,8.2999375,0.092560053,248.4873256,0.011151898,<|zh|><|NEUTRAL|><|Speech|><|withitn|>这种模式不能保证所有采购产品是市场上最好的产品。
BAC009S0002W0213.wav,政企 兴 分 痼疾 难消 产业 垄断 有 待 破除,政企兴分痼疾难消产业垄断有待破除,政企兴奋顾及难消产业垄断有待破除,16,16,3,0.1875,6.333,0.083751678,191.0409474,0.013224645,<|zh|><|NEUTRAL|><|Speech|><|withitn|>政企兴奋顾及难消，产业垄断有待破除。
BAC009S0002W0214.wav,政企 不 分 是一 种 痼疾,政企不分是一种痼疾,政企不分是一种痼疾,9,9,0,0,3.2359375,0.073748112,122.0370229,0.022790339,<|zh|><|NEUTRAL|><|Speech|><|withitn|>政企不分是一种痼疾。
BAC009S0002W0215.wav,但 迄今 很 难说 已经 完全 分开,但迄今很难说已经完全分开,但迄今很难说已经完全分开,12,12,0,0,4.328,0.077270031,155.2995366,0.017853519,<|zh|><|NEUTRAL|><|Speech|><|withitn|>但迄今很难说，已经完全分开。
